iter	Passed	Remaining
0	31	31604
1	64	32402
2	129	43110
3	187	46661
4	227	45313
5	273	45381
6	312	44338
7	343	42559
8	373	41146
9	413	40908
10	487	43820
11	557	45925
12	588	44668
13	651	45864
14	685	44989
15	733	45129
16	769	44493
17	809	44174
18	858	44305
19	892	43755
20	933	43533
21	975	43381
22	1022	43452
23	1105	44950
24	1150	44886
25	1184	44354
26	1213	43720
27	1239	43034
28	1271	42565
29	1304	42188
30	1337	41808
31	1360	41169
32	1413	41429
33	1456	41382
34	1534	42307
35	1642	43981
36	1715	44645
37	1813	45908
38	1887	46509
39	1931	46345
40	2012	47083
41	2109	48115
42	2147	47798
43	2180	47385
44	2219	47108
45	2281	47317
46	2327	47185
47	2375	47115
48	2433	47237
49	2483	47183
50	2515	46808
51	2553	46546
52	2594	46359
53	2627	46030
54	2657	45662
55	2683	45234
56	2715	44917
57	2754	44733
58	2790	44499
59	2818	44161
60	2847	43839
61	2880	43584
62	2911	43310
63	2945	43075
64	2975	42804
65	3006	42549
66	3034	42252
67	3064	42003
68	3095	41772
69	3126	41543
70	3153	41259
71	3179	40976
72	3216	40840
73	3261	40811
74	3300	40710
75	3329	40477
76	3385	40581
77	3412	40333
78	3479	40567
79	3555	40891
80	3595	40788
81	3645	40809
82	3699	40874
83	3730	40678
84	3759	40473
85	3797	40354
86	3833	40226
87	3874	40150
88	3921	40139
89	3968	40121
90	4010	40058
91	4042	39899
92	4068	39681
93	4105	39566
94	4138	39420
95	4167	39248
96	4200	39108
97	4229	38932
98	4254	38722
99	4280	38526
100	4310	38367
101	4361	38399
102	4400	38320
103	4435	38209
104	4470	38109
105	4494	37902
106	4521	37738
107	4550	37583
108	4579	37434
109	4608	37288
110	4642	37180
111	4684	37141
112	4728	37113
113	4758	36979
114	4800	36940
115	4844	36919
116	4894	36939
117	4955	37040
118	5001	37026
119	5038	36945
120	5067	36815
121	5100	36708
122	5132	36598
123	5168	36511
124	5202	36420
125	5232	36297
126	5262	36172
127	5296	36085
128	5334	36020
129	5364	35903
130	5397	35803
131	5429	35702
132	5454	35555
133	5480	35420
134	5503	35262
135	5530	35134
136	5553	34985
137	5587	34898
138	5613	34768
139	5642	34661
140	5668	34536
141	5698	34432
142	5734	34366
143	5792	34431
144	5836	34416
145	5866	34317
146	5896	34217
147	5927	34123
148	5952	33996
149	5983	33908
150	6020	33849
151	6056	33791
152	6095	33742
153	6129	33670
154	6152	33540
155	6177	33423
156	6203	33306
157	6227	33186
158	6259	33110
159	6290	33024
160	6336	33020
161	6361	32904
162	6388	32805
163	6416	32708
164	6448	32630
165	6483	32573
166	6516	32504
167	6546	32422
168	6576	32339
169	6599	32218
170	6627	32130
171	6655	32040
172	6685	31957
173	6720	31905
174	6749	31820
175	6780	31742
176	6805	31642
177	6830	31543
178	6857	31452
179	6886	31369
180	6915	31291
181	6945	31216
182	6986	31189
183	7018	31126
184	7042	31026
185	7066	30926
186	7091	30831
187	7115	30733
188	7146	30665
189	7177	30599
190	7210	30541
191	7233	30440
192	7263	30372
193	7307	30361
194	7334	30280
195	7359	30187
196	7388	30118
197	7420	30057
198	7452	29999
199	7482	29928
200	7509	29849
201	7535	29768
202	7566	29708
203	7595	29637
204	7619	29546
205	7640	29449
206	7665	29367
207	7690	29284
208	7729	29252
209	7764	29209
210	7799	29163
211	7835	29125
212	7867	29068
213	7897	29006
214	7934	28969
215	7969	28928
216	8005	28886
217	8037	28831
218	8068	28773
219	8097	28708
220	8123	28633
221	8152	28569
222	8183	28514
223	8205	28427
224	8232	28356
225	8254	28269
226	8286	28217
227	8317	28164
228	8362	28155
229	8393	28100
230	8424	28044
231	8463	28016
232	8495	27967
233	8519	27890
234	8547	27823
235	8571	27746
236	8593	27666
237	8615	27583
238	8638	27507
239	8660	27425
240	8683	27347
241	8708	27278
242	8732	27202
243	8758	27136
244	8779	27056
245	8804	26986
246	8828	26914
247	8857	26856
248	8889	26811
249	8911	26735
250	8936	26665
251	8958	26590
252	8981	26518
253	9006	26451
254	9026	26371
255	9047	26293
256	9071	26226
257	9093	26153
258	9115	26078
259	9139	26013
260	9162	25942
261	9188	25882
262	9212	25815
263	9235	25748
264	9262	25690
265	9289	25632
266	9329	25613
267	9355	25552
268	9377	25482
269	9399	25413
270	9425	25354
271	9447	25286
272	9473	25228
273	9496	25161
274	9521	25101
275	9548	25048
276	9574	24991
277	9597	24924
278	9622	24866
279	9645	24803
280	9670	24743
281	9691	24676
282	9718	24621
283	9749	24579
284	9772	24516
285	9793	24449
286	9820	24396
287	9843	24335
288	9868	24278
289	9893	24221
290	9918	24166
291	9943	24108
292	9970	24057
293	9996	24006
294	10018	23943
295	10041	23882
296	10067	23830
297	10089	23767
298	10111	23707
299	10136	23651
300	10167	23611
301	10191	23555
302	10218	23505
303	10242	23450
304	10271	23404
305	10302	23366
306	10339	23339
307	10366	23291
308	10394	23244
309	10430	23217
310	10470	23197
311	10513	23184
312	10549	23155
313	10611	23182
314	10651	23163
315	10682	23123
316	10712	23080
317	10749	23053
318	10794	23043
319	10836	23027
320	10881	23016
321	10918	22989
322	10947	22945
323	10981	22911
324	11010	22868
325	11050	22846
326	11083	22811
327	11111	22765
328	11136	22713
329	11163	22666
330	11187	22611
331	11213	22562
332	11237	22509
333	11267	22466
334	11294	22420
335	11328	22387
336	11352	22334
337	11378	22284
338	11415	22257
339	11444	22216
340	11530	22283
341	11582	22284
342	11611	22240
343	11637	22191
344	11670	22157
345	11716	22146
346	11754	22120
347	11791	22092
348	11826	22060
349	11858	22022
350	11884	21974
351	11931	21964
352	11982	21961
353	12016	21927
354	12047	21888
355	12082	21857
356	12112	21816
357	12144	21778
358	12177	21743
359	12213	21713
360	12246	21677
361	12279	21642
362	12325	21628
363	12360	21596
364	12390	21556
365	12419	21514
366	12445	21465
367	12478	21430
368	12505	21385
369	12546	21362
370	12588	21342
371	12622	21308
372	12658	21279
373	12694	21247
374	12731	21218
375	12764	21184
376	12808	21166
377	12840	21129
378	12875	21097
379	12909	21062
380	12940	21023
381	12969	20982
382	12998	20939
383	13027	20898
384	13059	20860
385	13087	20817
386	13113	20771
387	13141	20728
388	13171	20688
389	13212	20666
390	13251	20640
391	13290	20613
392	13330	20589
393	13358	20546
394	13402	20527
395	13439	20497
396	13485	20483
397	13523	20454
398	13560	20425
399	13597	20396
400	13638	20373
401	13692	20367
402	13737	20350
403	13765	20307
404	13790	20259
405	13819	20218
406	13848	20177
407	13872	20128
408	13903	20090
409	13933	20050
410	13966	20015
411	13993	19971
412	14021	19928
413	14056	19896
414	14099	19875
415	14134	19842
416	14164	19803
417	14186	19752
418	14211	19706
419	14234	19657
420	14270	19626
421	14299	19585
422	14322	19537
423	14345	19488
424	14369	19440
425	14392	19392
426	14418	19348
427	14443	19302
428	14474	19265
429	14497	19218
430	14532	19186
431	14560	19143
432	14582	19095
433	14605	19047
434	14627	18999
435	14651	18952
436	14678	18910
437	14713	18879
438	14743	18841
439	14767	18795
440	14798	18758
